size,horizon,delta,algorithm,trial,objective,risk,time_s,n,iterations,complete,constrained_pomdp_commit,raostar_commit
5,3,0.1,DARP-HILP,1,8.932312499999998,0.08976562500000002,0.06091961089987308,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,1,9.749686328125,0.08926781233710164,0.08024474291596562,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,2,8.932312499999998,0.08976562500000002,0.04979919409379363,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,2,9.749686328125,0.08926781233710164,0.07643627596553415,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,3,8.932312499999998,0.08976562500000002,0.04961954103782773,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,3,9.749686328125,0.08926781233710164,0.11347686708904803,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,4,8.932312499999998,0.08976562500000002,0.09863769402727485,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,4,9.749686328125,0.08926781233710164,0.07836949499323964,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,5,8.932312499999998,0.08976562500000002,0.04901704809162766,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,5,9.749686328125,0.08926781233710164,0.07813379704020917,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,6,8.932312499999998,0.08976562500000002,0.048767784028314054,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,6,9.749686328125,0.08926781233710164,0.07697009097319096,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,7,8.932312499999998,0.08976562500000002,0.04892108903732151,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,7,9.749686328125,0.08926781233710164,0.07750718900933862,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,8,8.932312499999998,0.08976562500000002,0.04849592596292496,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,8,9.749686328125,0.08926781233710164,0.08841860992833972,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,9,8.932312499999998,0.08976562500000002,0.05554200301412493,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,9,9.749686328125,0.08926781233710164,0.08237476507201791,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,10,8.932312499999998,0.08976562500000002,0.04924812202807516,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,10,9.749686328125,0.08926781233710164,0.07636501907836646,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
