sensors,horizon,delta,algorithm,trial,cost,risk,time_s,expanded_nodes,evaluated_states,iterations,complete,semantic_scope,source_network,fault_prior,raostar_url,raostar_commit
1,4,0.0,DARP-HILP,1,5.0,0.0,2.9907845209818333,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.0,RAO*,1,5.0,0.0,0.04990410804748535,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.0,DARP-HILP,2,5.0,0.0,3.212964828009717,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.0,RAO*,2,5.0,0.0,0.05704903602600098,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.0,DARP-HILP,3,5.0,0.0,2.9745449819602072,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.0,RAO*,3,5.0,0.0,0.04968118667602539,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,DARP-HILP,1,5.0,0.0,2.9058438079664484,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,RAO*,1,5.0,0.0,0.05512857437133789,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,DARP-HILP,2,5.0,0.0,2.9471677120309323,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,RAO*,2,5.0,0.0,0.04878544807434082,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,DARP-HILP,3,5.0,0.0,2.9170410649385303,276,,277,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.0,RAO*,3,5.0,0.0,0.0487515926361084,15,30,15,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,DARP-HILP,1,2.5,0.5,3.691521435044706,317,,311,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,RAO*,1,2.5,0.5,0.04335355758666992,15,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,DARP-HILP,2,2.5,0.5,3.864424026105553,317,,311,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,RAO*,2,2.5,0.5,0.04029965400695801,15,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,DARP-HILP,3,2.5,0.5,3.791054897941649,317,,311,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,0.5,RAO*,3,2.5,0.5,0.038971662521362305,15,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,DARP-HILP,1,2.5,0.5,3.925112829077989,326,,313,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,RAO*,1,2.5,0.5,0.04497861862182617,16,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,DARP-HILP,2,2.5,0.5,3.8370773940114304,326,,313,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,RAO*,2,2.5,0.5,0.04330611228942871,16,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,DARP-HILP,3,2.5,0.5,4.075006359023973,326,,313,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,0.5,RAO*,3,2.5,0.5,0.04152226448059082,16,25,14,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,DARP-HILP,1,2.5,0.5,12.152828666032292,592,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,RAO*,1,2.5,0.5,0.04816699028015137,22,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,DARP-HILP,2,2.5,0.5,12.842141520930454,592,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,RAO*,2,2.5,0.5,0.05161142349243164,22,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,DARP-HILP,3,2.5,0.5,12.66224368091207,592,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
1,4,1.0,RAO*,3,2.5,0.5,0.04856395721435547,22,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,DARP-HILP,1,2.5,0.5,13.298036941909231,599,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,RAO*,1,2.5,0.5,0.06061100959777832,23,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,DARP-HILP,2,2.5,0.5,13.415169834974222,599,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,RAO*,2,2.5,0.5,0.054285287857055664,23,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,DARP-HILP,3,2.5,0.5,13.432338754995726,599,,586,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
2,4,1.0,RAO*,3,2.5,0.5,0.051465511322021484,23,39,21,True,darp_authored_reduced_psr,Bonet-Thiebaux-three-line,uniform exactly-one fault on l1/l2,https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
