delta,algorithm,trial,objective,risk,time_s,expanded_nodes,evaluated_states,iterations,complete,semantic_scope,source_model,raostar_url,raostar_commit
0.002,DARP-HILP,1,19.98,0.001999,1.1487002379726619,30,816,18,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.002,RAO*,1,19.980799200000014,0.0019990000000000008,0.6484158039093018,57,544,17,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.002,DARP-HILP,2,19.98,0.001999,1.126500130048953,30,816,18,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.002,RAO*,2,19.980799200000014,0.0019990000000000008,0.6203291416168213,57,544,17,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.002,DARP-HILP,3,19.98,0.001999,1.0873431039508432,30,816,18,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.002,RAO*,3,19.980799200000014,0.0019990000000000008,0.5964550971984863,57,544,17,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,DARP-HILP,1,29.454524489502,0.004990009995001,2.8587870670016855,214,1040,64,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,RAO*,1,29.45519420287459,0.004990009995001001,0.440509557723999,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,DARP-HILP,2,29.454524489502,0.004990009995001,2.7218113749986514,214,1040,64,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,RAO*,2,29.45519420287459,0.004990009995001001,0.4131324291229248,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,DARP-HILP,3,29.454524489502,0.004990009995001,2.808180154999718,214,1040,64,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.01,RAO*,3,29.45519420287459,0.004990009995001001,0.480104923248291,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,DARP-HILP,1,29.454524489502,0.004990009995001,2.1289603860350326,152,992,50,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,RAO*,1,29.45519420287459,0.004990009995001001,0.44795989990234375,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,DARP-HILP,2,29.454524489502,0.004990009995001,2.078362175030634,152,992,50,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,RAO*,2,29.45519420287459,0.004990009995001001,0.41294312477111816,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,DARP-HILP,3,29.454524489502,0.004990009995001,2.1072480380535126,152,992,50,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
0.05,RAO*,3,29.45519420287459,0.004990009995001001,0.4422450065612793,53,409,11,True,source_non_scheduling,tFakePlannerRockSampleModel(perform_scheduling=False),https://github.com/ME-Msc/rao-star.git,f51bfdc1ff8fcb2504dcb38c3b36d719506501fb
